UniProt_Id                                                                                          ,Gene_Symbol                                                                                         ,Protein_Name                                                                                                                                                                                                                                                    ,Gene_Names                                                                                                                                                                                                                                                      ,Accession                                         ,PsmSum     ,MeanPsm             ,PsmPresent ,PctPresent          
Q9Y6X0                                                                                              ,SETBP                                                                                               ,SET-binding protein                                                                                                                                                                                                                                             ,SETBP1                                                                                                                                                                                                                                                          ,Q9Y6X0                                            ,         28,                 .09,         19,                6.11
Q9NZ94                                                                                              ,NLGN3                                                                                               ,Neuroligin-3                                                                                                                                                                                                                                                    ,NLGN3                                                                                                                                                                                                                                                           ,Q9NZ94                                            ,         23,                 .07,         19,                6.11
Q9GZU5                                                                                              ,NYX                                                                                                 ,Nyctalopin                                                                                                                                                                                                                                                      ,NYX                                                                                                                                                                                                                                                             ,Q9GZU5                                            ,         28,                 .09,         19,                6.11
Q9HBJ7                                                                                              ,UBP29                                                                                               ,Ubiquitin carboxyl-terminal hydrolase 29                                                                                                                                                                                                                        ,USP29                                                                                                                                                                                                                                                           ,Q9HBJ7                                            ,         20,                 .06,         19,                6.11
Q9NW64                                                                                              ,RBM22                                                                                               ,Pre-mRNA-splicing factor RBM22                                                                                                                                                                                                                                  ,RBM22                                                                                                                                                                                                                                                           ,Q9NW64                                            ,         27,                 .09,         19,                6.11
Q9NP58                                                                                              ,ABCB6                                                                                               ,ATP-binding cassette sub-family B member 6                                                                                                                                                                                                                      ,ABCB6                                                                                                                                                                                                                                                           ,Q9NP58                                            ,         20,                 .06,         19,                6.11
Q969Z3                                                                                              ,MARC2, MOSC2                                                                                        ,Mitochondrial amidoxime reducing component 2                                                                                                                                                                                                                    ,MTARC2                                                                                                                                                                                                                                                          ,Q969Z3                                            ,         22,                 .07,         19,                6.11
Q96CB9                                                                                              ,NSUN4                                                                                               ,5-methylcytosine rRNA methyltransferase NSUN4                                                                                                                                                                                                                   ,NSUN4                                                                                                                                                                                                                                                           ,Q96CB9                                            ,         22,                 .07,         19,                6.11
Q92538                                                                                              ,GBF1                                                                                                ,Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1                                                                                                                                                                                      ,GBF1                                                                                                                                                                                                                                                            ,Q92538                                            ,         21,                 .07,         19,                6.11
Q8TE59                                                                                              ,ATS19                                                                                               ,A disintegrin and metalloproteinase with thrombospondin motifs 19                                                                                                                                                                                               ,ADAMTS19                                                                                                                                                                                                                                                        ,Q8TE59                                            ,         19,                 .06,         19,                6.11
Q8NHH1                                                                                              ,TTL11                                                                                               ,Tubulin polyglutamylase TTLL11                                                                                                                                                                                                                                  ,TTLL11                                                                                                                                                                                                                                                          ,Q8NHH1                                            ,         20,                 .06,         19,                6.11
Q96RY5                                                                                              ,CRML                                                                                                ,Protein cramped-like                                                                                                                                                                                                                                            ,CRAMP1                                                                                                                                                                                                                                                          ,Q96RY5                                            ,         25,                 .08,         19,                6.11
Q96NM4                                                                                              ,TOX2                                                                                                ,TOX high mobility group box family member 2                                                                                                                                                                                                                     ,TOX2                                                                                                                                                                                                                                                            ,Q96NM4                                            ,         21,                 .07,         19,                6.11
Q96JP2                                                                                              ,MY15B                                                                                               ,Unconventional myosin-XVB                                                                                                                                                                                                                                       ,MYO15B                                                                                                                                                                                                                                                          ,Q96JP2                                            ,         20,                 .06,         19,                6.11
Q96JI7                                                                                              ,SPTCS                                                                                               ,Spatacsin                                                                                                                                                                                                                                                       ,SPG11                                                                                                                                                                                                                                                           ,Q96JI7                                            ,         20,                 .06,         19,                6.11
Q9H1A4                                                                                              ,APC1                                                                                                ,Anaphase-promoting complex subunit 1                                                                                                                                                                                                                            ,ANAPC1                                                                                                                                                                                                                                                          ,Q9H1A4                                            ,         21,                 .07,         19,                6.11
Q9H0I9                                                                                              ,TKTL2                                                                                               ,Transketolase-like protein 2                                                                                                                                                                                                                                    ,TKTL2                                                                                                                                                                                                                                                           ,Q9H0I9                                            ,         23,                 .07,         19,                6.11
Q9BY89                                                                                              ,K1671                                                                                               ,Uncharacterized protein KIAA1671                                                                                                                                                                                                                                ,KIAA1671                                                                                                                                                                                                                                                        ,Q9BY89                                            ,         22,                 .07,         19,                6.11
Q9BYS8                                                                                              ,LRRC2                                                                                               ,Leucine-rich repeat-containing protein 2                                                                                                                                                                                                                        ,LRRC2                                                                                                                                                                                                                                                           ,Q9BYS8                                            ,         19,                 .06,         18,                5.79
Q9BQG2                                                                                              ,NUD12                                                                                               ,NAD-capped RNA hydrolase NUDT12                                                                                                                                                                                                                                 ,NUDT12                                                                                                                                                                                                                                                          ,Q9BQG2                                            ,         23,                 .07,         18,                5.79
Q9H3W5                                                                                              ,LRRN3                                                                                               ,Leucine-rich repeat neuronal protein 3                                                                                                                                                                                                                          ,LRRN3                                                                                                                                                                                                                                                           ,Q9H3W5                                            ,         26,                 .08,         18,                5.79
Q96HF1                                                                                              ,SFRP2                                                                                               ,Secreted frizzled-related protein 2                                                                                                                                                                                                                             ,SFRP2                                                                                                                                                                                                                                                           ,Q96HF1                                            ,         23,                 .07,         18,                5.79
Q96M29                                                                                              ,TEKT5                                                                                               ,Tektin-5                                                                                                                                                                                                                                                        ,TEKT5                                                                                                                                                                                                                                                           ,Q96M29                                            ,         20,                 .06,         18,                5.79
Q96NN9                                                                                              ,AIFM3                                                                                               ,Apoptosis-inducing factor 3                                                                                                                                                                                                                                     ,AIFM3                                                                                                                                                                                                                                                           ,Q96NN9                                            ,         21,                 .07,         18,                5.79
Q96MY7                                                                                              ,F161B                                                                                               ,Protein FAM161B                                                                                                                                                                                                                                                 ,FAM161B                                                                                                                                                                                                                                                         ,Q96MY7                                            ,         20,                 .06,         18,                5.79
Q8NEV8                                                                                              ,EXPH5                                                                                               ,Exophilin-5                                                                                                                                                                                                                                                     ,EXPH5                                                                                                                                                                                                                                                           ,Q8NEV8                                            ,         21,                 .07,         18,                5.79
Q8N9R8                                                                                              ,SCAI                                                                                                ,Protein SCAI                                                                                                                                                                                                                                                    ,SCAI                                                                                                                                                                                                                                                            ,Q8N9R8                                            ,         23,                 .07,         18,                5.79
Q8NA03                                                                                              ,FSIP1                                                                                               ,Fibrous sheath-interacting protein 1                                                                                                                                                                                                                            ,FSIP1                                                                                                                                                                                                                                                           ,Q8NA03                                            ,         19,                 .06,         18,                5.79
Q8NDM7                                                                                              ,CFA43                                                                                               ,Cilia- and flagella-associated protein 43                                                                                                                                                                                                                       ,CFAP43                                                                                                                                                                                                                                                          ,Q8NDM7                                            ,         19,                 .06,         18,                5.79
Q8NDA2                                                                                              ,HMCN2                                                                                               ,Hemicentin-2                                                                                                                                                                                                                                                    ,HMCN2                                                                                                                                                                                                                                                           ,Q8NDA2                                            ,         21,                 .07,         18,                5.79
Q8NDH2                                                                                              ,CC168                                                                                               ,Coiled-coil domain-containing protein 168                                                                                                                                                                                                                       ,CCDC168                                                                                                                                                                                                                                                         ,Q8NDH2                                            ,         18,                 .06,         18,                5.79
Q8TD84                                                                                              ,DSCL1                                                                                               ,Down syndrome cell adhesion molecule-like protein 1                                                                                                                                                                                                             ,DSCAML1                                                                                                                                                                                                                                                         ,Q8TD84                                            ,         19,                 .06,         18,                5.79
Q8WUY3                                                                                              ,PRUN2                                                                                               ,Protein prune homolog 2                                                                                                                                                                                                                                         ,PRUNE2                                                                                                                                                                                                                                                          ,Q8WUY3                                            ,         21,                 .07,         18,                5.79
Q8TF30                                                                                              ,WHAMM                                                                                               ,WASP homolog-associated protein with actin, membranes and microtubules                                                                                                                                                                                          ,WHAMM                                                                                                                                                                                                                                                           ,Q8TF30                                            ,         19,                 .06,         18,                5.79
Q8WWK9                                                                                              ,CKAP2                                                                                               ,Cytoskeleton-associated protein 2                                                                                                                                                                                                                               ,CKAP2                                                                                                                                                                                                                                                           ,Q8WWK9                                            ,         18,                 .06,         18,                5.79
Q8WWL7                                                                                              ,CCNB3                                                                                               ,G2/mitotic-specific cyclin-B3                                                                                                                                                                                                                                   ,CCNB3                                                                                                                                                                                                                                                           ,Q8WWL7                                            ,         18,                 .06,         18,                5.79
Q96BY7                                                                                              ,ATG2B                                                                                               ,Autophagy-related protein 2 homolog B                                                                                                                                                                                                                           ,ATG2B                                                                                                                                                                                                                                                           ,Q96BY7                                            ,         20,                 .06,         18,                5.79
Q9NQX0                                                                                              ,PRDM6                                                                                               ,Putative histone-lysine N-methyltransferase PRDM6                                                                                                                                                                                                               ,PRDM6                                                                                                                                                                                                                                                           ,Q9NQX0                                            ,         23,                 .07,         18,                5.79
Q9NSI6                                                                                              ,BRWD1                                                                                               ,Bromodomain and WD repeat-containing protein 1                                                                                                                                                                                                                  ,BRWD1                                                                                                                                                                                                                                                           ,Q9NSI6                                            ,         21,                 .07,         18,                5.79
Q9NRM6                                                                                              ,I17RB                                                                                               ,Interleukin-17 receptor B                                                                                                                                                                                                                                       ,IL17RB                                                                                                                                                                                                                                                          ,Q9NRM6                                            ,         25,                 .08,         18,                5.79
Q9HCE3                                                                                              ,ZN532                                                                                               ,Zinc finger protein 532                                                                                                                                                                                                                                         ,ZNF532                                                                                                                                                                                                                                                          ,Q9HCE3                                            ,         26,                 .08,         18,                5.79
Q9H7S9                                                                                              ,ZN703                                                                                               ,Zinc finger protein 703                                                                                                                                                                                                                                         ,ZNF703                                                                                                                                                                                                                                                          ,Q9H7S9                                            ,         23,                 .07,         18,                5.79
Q9H7Z3                                                                                              ,NRDE2                                                                                               ,Nuclear exosome regulator NRDE2                                                                                                                                                                                                                                 ,NRDE2                                                                                                                                                                                                                                                           ,Q9H7Z3                                            ,         21,                 .07,         18,                5.79
Q9NZI8                                                                                              ,IF2B1                                                                                               ,Insulin-like growth factor 2 mRNA-binding protein 1                                                                                                                                                                                                             ,IGF2BP1                                                                                                                                                                                                                                                         ,Q9NZI8                                            ,         21,                 .07,         18,                5.79
Q9NZL9                                                                                              ,MAT2B                                                                                               ,Methionine adenosyltransferase 2 subunit beta                                                                                                                                                                                                                   ,MAT2B                                                                                                                                                                                                                                                           ,Q9NZL9                                            ,         19,                 .06,         18,                5.79
Q9NZM3                                                                                              ,ITSN2                                                                                               ,Intersectin-2                                                                                                                                                                                                                                                   ,ITSN2                                                                                                                                                                                                                                                           ,Q9NZM3                                            ,         23,                 .07,         18,                5.79
Q9P2P5                                                                                              ,HECW2                                                                                               ,E3 ubiquitin-protein ligase HECW2                                                                                                                                                                                                                               ,HECW2                                                                                                                                                                                                                                                           ,Q9P2P5                                            ,         21,                 .07,         18,                5.79
Q9UBZ9                                                                                              ,REV1                                                                                                ,DNA repair protein REV1                                                                                                                                                                                                                                         ,REV1                                                                                                                                                                                                                                                            ,Q9UBZ9                                            ,         20,                 .06,         18,                5.79
Q9UIF8                                                                                              ,BAZ2B                                                                                               ,Bromodomain adjacent to zinc finger domain protein 2B                                                                                                                                                                                                           ,BAZ2B                                                                                                                                                                                                                                                           ,Q9UIF8                                            ,         26,                 .08,         18,                5.79
Q9UIR0                                                                                              ,BTNL2                                                                                               ,Butyrophilin-like protein 2                                                                                                                                                                                                                                     ,BTNL2                                                                                                                                                                                                                                                           ,Q9UIR0                                            ,         28,                 .09,         18,                5.79
Q9Y6R4                                                                                              ,M3K4                                                                                                ,Mitogen-activated protein kinase kinase kinase 4                                                                                                                                                                                                                ,MAP3K4                                                                                                                                                                                                                                                          ,Q9Y6R4                                            ,         19,                 .06,         18,                5.79
Q9Y490                                                                                              ,TLN1                                                                                                ,Talin-1                                                                                                                                                                                                                                                         ,TLN1                                                                                                                                                                                                                                                            ,Q9Y490                                            ,         21,                 .07,         18,                5.79
Q9UNY4                                                                                              ,TTF2                                                                                                ,Transcription termination factor 2                                                                                                                                                                                                                              ,TTF2                                                                                                                                                                                                                                                            ,Q9UNY4                                            ,         18,                 .06,         18,                5.79
Q9UPX8                                                                                              ,SHAN2                                                                                               ,SH3 and multiple ankyrin repeat domains protein 2                                                                                                                                                                                                               ,SHANK2                                                                                                                                                                                                                                                          ,Q9UPX8                                            ,         19,                 .06,         18,                5.79
